,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,income,marital-status_Non-Married,native-country_US,occupation_Other,race_White,relationship_Non-Husband,sex_Male,workclass_Private
0,39,77516,13,2174,0,40,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,50,83311,13,0,0,13,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,38,215646,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,53,234721,7,0,0,40,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
4,28,338409,13,0,0,40,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,37,284582,14,0,0,40,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
6,49,160187,5,0,0,16,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7,52,209642,9,0,0,45,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,31,45781,14,14084,0,50,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0
9,42,159449,13,5178,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
10,37,280464,10,0,0,80,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0
11,30,141297,13,0,0,40,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,23,122272,13,0,0,30,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
13,32,205019,12,0,0,50,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
14,40,121772,11,0,0,40,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0
15,34,245487,4,0,0,45,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
16,25,176756,9,0,0,35,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,32,186824,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
18,38,28887,7,0,0,50,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
19,43,292175,14,0,0,45,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
20,40,193524,16,0,0,60,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
21,54,302146,9,0,0,20,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
22,35,76845,5,0,0,40,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
23,43,117037,7,0,2042,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
24,59,109015,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
25,56,216851,13,0,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
26,19,168294,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,54,180211,10,0,0,60,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0
28,39,367260,9,0,0,80,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
29,49,193366,9,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
30,23,190709,12,0,0,52,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,20,266015,10,0,0,44,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
32,45,386940,13,0,1408,40,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
