,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
0,55.0,144.0,4.0,84.0,20.0,3.0,0.0,83.0,2.0,23.0,1.0,43.0,0.0,0.0,0.0,33.0,70.2104219767771,8.0,1.0,1.0,69.0,0.0
1,61.0,58.0,15.0,41.0,2.0,4.0,4.0,100.0,83.0,7.0,0.0,67.0,0.0,0.0,0.0,0.0,70.2104219767771,0.0,2.5639510341916423,1.464035646085296,0.0,0.0
2,67.0,66.0,5.0,24.0,9.0,0.0,0.0,100.0,83.0,9.0,4.0,44.0,0.0,4.0,4.0,53.0,66.0,4.0,2.0,1.0,86.0,0.0
3,66.0,169.0,1.0,73.0,28.0,1.0,1.0,93.0,76.0,30.0,3.0,57.0,0.0,5.0,4.0,72.0,83.0,6.0,4.0,3.0,91.0,0.0
4,81.0,333.0,27.0,132.0,12.0,0.0,0.0,100.0,83.0,12.0,0.0,25.0,0.0,1.0,1.0,51.0,89.0,3.0,1.0,0.0,80.0,0.0
5,59.0,137.0,11.0,78.0,31.0,0.0,0.0,91.0,1.0,32.0,1.0,47.0,0.0,0.0,0.0,62.0,93.0,12.0,4.0,3.0,94.0,0.0
6,54.0,88.0,7.0,37.0,25.0,0.0,0.0,92.0,9.0,26.0,3.0,58.0,0.0,4.0,4.0,89.0,76.0,7.0,7.0,2.0,100.0,1.0
7,68.0,148.0,7.0,65.0,17.0,0.0,0.0,83.0,31.0,18.0,1.0,44.0,0.0,0.0,0.0,28.0,48.0,2.0,2.0,2.0,40.0,1.0
8,59.0,324.0,2.0,138.0,24.0,0.0,0.0,85.0,5.0,27.0,1.0,26.0,0.0,1.0,1.0,68.0,70.2104219767771,7.0,1.0,3.0,90.0,0.0
9,61.0,79.0,4.0,36.0,19.0,0.0,0.0,95.0,5.0,19.0,3.0,26.0,0.0,6.0,6.0,31.0,86.0,5.0,3.0,1.0,62.0,0.0
10,82.0,96.0,5.0,47.0,16.0,0.0,0.0,100.0,83.0,16.0,3.0,31.0,0.0,0.0,0.0,15.0,88.0,4.0,2.0,0.0,67.0,1.0
11,50.0,311.0,25.0,76.0,12.0,1.0,0.0,60.0,2.0,15.0,0.0,20.0,0.0,1.0,1.0,84.0,64.0,5.0,2.0,2.0,88.0,0.0
12,74.0,274.0,2.0,66.0,23.0,0.0,0.0,100.0,83.0,28.0,4.0,39.0,0.0,2.0,2.0,18.0,65.0,3.0,5.0,1.0,67.0,0.0
13,69.0,256.0,6.0,117.0,11.0,1.0,1.0,100.0,83.0,14.0,1.0,8.0,0.0,0.0,0.0,13.0,66.51626155426224,2.0,2.397237827715356,0.0,67.0,1.0
14,63.0,262.0,26.0,95.0,3.0,2.0,2.0,75.0,27.0,6.0,0.0,100.0,0.0,0.0,0.0,44.83497092440346,70.2104219767771,4.487420127795527,1.0,1.464035646085296,100.0,0.0
15,63.0,184.0,3.0,77.0,34.0,0.0,0.0,97.0,32.0,36.0,2.0,36.0,0.0,11.0,10.0,71.0,80.0,10.0,2.0,3.0,82.0,0.0
16,61.0,256.0,19.0,68.0,14.0,0.0,0.0,87.0,0.0,15.0,0.0,33.0,0.0,2.0,1.0,62.0,68.0,3.0,3.0,1.0,86.0,0.0
17,62.0,131.0,4.0,59.0,16.0,4.0,2.0,79.0,23.0,20.0,4.0,58.0,0.0,4.0,4.0,25.0,91.0,3.0,4.0,1.0,70.0,0.0
